,Text,label,predicted
790,Never have a problem with this location,normal,normal
791,no fee to use,improve customer service,normal
792,Because of Convenience to my home and easy and accessible the ATM was to get into location during off hours.,normal,normal
793,"If the ATM can check money or checks more exact, it will be better.",improve deposit process,normal
794,Easy access.,normal,normal
795,It was easy navigate the system and my transition went pretty smooth.,normal,normal
796,ATM worked,normal,normal
797,Program easy to maneuver and efficient.  Cash easy to access and retrieve.,normal,normal
798,It went ok,normal,normal
799,No problems,normal,normal
800,Staff are very professional,normal,normal
801,Allow me to set defaults on my ATM transactions so that I do not need to answer so many questions. YES: I always want a receiptandYES: I always want it printed,user interface,user interface
802,It's very easy and convenient to use the ATM instead of walking inside the bank.,normal,normal
803,It works and with the instructions it becomes very easy to use .,normal,normal
804,Excellent service,normal,normal
805,everything works.,normal,normal
806,Everything worked as expected,normal,normal
807,Been using your ATM's for years.  Ease of use. Simple,normal,normal
808,making operations at ATMs in the Bank of America is really very easy and fast,normal,normal
809,Be quicker & fix their problems,make process faster,make process faster
810,ATM is too slow to process transactions,make process faster,make process faster
811,To get cash,normal,normal
812,Quick and easy to use. Thanks,normal,normal
813,No line. Easy and quick experience.,normal,normal
814,"Would prefer to not have to remove and reinsert card and retype pin to check balance before making a withdrawal.Specifically at this location, the swipe for the door after hours seems finicky and takes a few tries to open.",chaining,chaining
815,just like to run in and use the machine than leave,normal,normal
816,"little depressed, I never have enough money in there.",normal,normal
817,Great service and open all night,normal,normal
818,Now is fast and I can get $ 100.00 bills,normal,normal
819,Excellent service,normal,normal
820,"Every time I go to this particular ATM, they’ve added a new feature, which is cool. Operations system is fast and quick!!!",normal,normal
821,Quick and easy.,normal,normal
822,no one's perfect,normal,normal
823,get a better check reader that doesn't keep kicking checks out cause they are different sizes. have some kind of way for customers to see that atm is down.,improve deposit process,improve deposit process
824,Access and ease of the newer atm machines.,normal,normal
825,new ATMs operate great,normal,normal
826,"It was an good experience but anybody can see when I entered my pin number. What The screen shows also can be seen by anybody standing 8-10 feet behind me. Not feeling secure, especially because I was withholding money.",normal,safety/cleanliness
827,The newer drive-up ATM machine screens/touch pads are too high for a standard vehicle and designed more to accommodate high SUV/trucks. Most people have to get out of their cars to operate the new ATMs. Maybe just provide one ATM for high SUV/trucks at locations with multiple drive thru lanes.,drive-up height/layout,drive-up height/layout
828,Everything is easy no hassle fast and simple,normal,normal
829,"Easy instructions, quick ATM response.",normal,normal
830,Convenience is nice. The atm at the second lane was not working.,normal,normal
831,"MY BANK OF AMERICA BRANCH NOW OFFERS WHICH DENOMINATIONS OF BILLS TO CHOOSE FROM. ALSO, THE PRINT ON THE MACHINE SEEMS TO BE BIGGER/BOLDER, SO ITS EASIER TO READ.",normal,normal
832,Excellent customer care!!!,normal,normal
833,Air conditioning in the atm room,safety/cleanliness,safety/cleanliness
834,I like that I can send my receipt to email,normal,normal
835,The New ATM machines installed at this location are far superior to other ATM machines,normal,normal
836,The amount of traffic at this atm. It would be faster if there were two given that one of the teller drive thrus is not used.,normal,normal
837,I was able to get in and out quickly.,normal,normal
838,A drive up ATM would be much more convenient & would feel safer. Although the doors being locked when you're inside is a nice safety feature I would be uncomfortable going in & coming out in the dark unless I had someone with me.,add location,safety/cleanliness
839,The security door opened right away and the machine worked just fine.,normal,normal
840,"The touchpad on the screen once the transaction is over was not sensitive to the touch and I had press seceral times in order end the transaction. I have encountered this problem with a number of other BofA ATM machines. Also, I prefer a machine that dispenses all denominations like the one on 95th and Stony Island (outside of the branch)",normal,improve touchscreen
841,Different bills,multi-denomination,normal
842,quick process,normal,normal
843,Easy to use.,normal,normal
844,i did not have to wait in a line. the machine was working and i was able to complete my transaction quickly and efficiently,normal,normal
845,Quick simple out the door,normal,normal
846,It was nice to see the new ATM. Took a little longer only because I didn't know it yet.,normal,normal
847,"The screen was taking to long to receive my taps. That’s an unsafe area. I didn’t feel comfortable standing there wrestling with screen to move to next prompt,",improve touchscreen,improve touchscreen
848,Well lit easy to use,normal,normal
849,So easy and very convenient,normal,normal
850,Option to change withdrawal denominations was easy to navigate and accomplish.,normal,normal
851,Bank of America ATM machines are quick and easy to use I've never experienced a problem or issue.,normal,normal
852,Efficiency,normal,normal
853,Easy and quick,normal,normal
854,It was simple and easy. Thanks,normal,normal
855,exelent  service.,normal,normal
856,It is near from my location and it is fast service too,normal,normal
857,It worked!,normal,normal
858,"Easy in, easy out",normal,normal
859,Not a complicated system.,normal,normal
860,"I went to the branch to deposit a check. There was only one teller and two in the drive thru, and two in line. I tried to patiently wait but the teller had to go between drive thru, and counter. I decided to just leave and deposit it at Chase Bank. I have accounts there also.",improve customer service,improve customer service
861,Fast,normal,normal
862,I was able to complete my transaction I no time.,normal,normal
863,no problems,normal,normal
864,Very easy and fast,normal,normal
865,They was very fast helpful,normal,normal
866,Some bills werent accepted until after several attempts,improve deposit process,normal
867,No wait to use ATM.  Easy and simple to get what I need from it. Nice office.  Well pleased and always have been.  If I don't understand something there's always someone to help.,normal,normal
868,"I deposited $5,669.50 into my account on 11/21/18, but the deposit is on hold until 12/01 and not available for my use. That's ridiculous. If I could reverse the deposit, I would, and then deposit the check in either of my other accounts at Chase or Wells Fargo, where they have never held up any of my deposits.",improve withdrawal process,improve withdrawal process
869,Close to house.,normal,normal
870,The service I wanted was provided,normal,normal
871,I enjoyed using ATM than going into the lobby. Like it.,normal,normal
872,The ATM machine is new & works great.,normal,normal
873,the new ATM was super nice,normal,normal
874,Seems quick enough but possibly let’s do 2 transactions w/o reputting in the ATM card.,chaining,normal
875,The overall electronic platformBacked by great customer service.,normal,normal
876,"ATM machines are always operable. I retired here from Houston, Texas and it seems their machines were always down. Area in drive through here always clean. Thanks!",normal,normal
877,"secure access, clean inside and no waiting.",normal,normal
878,Ease on using atm,normal,normal
879,"Put more in the area,",add location,add location
880,E Z to use.,normal,normal
881,No problems -  no waiting,normal,normal
882,I never have a problem with Bank of America and that is the reason why I have stayed a customer for so long!,normal,normal
883,Never have had a problem at ATM. love that we can deposit anytime.,normal,normal
884,Everything worked well.,normal,normal
885,Fast and easy,normal,normal
886,I've been banking with bank of America for a few years now and bank with us bank as well I've never had a problem with bank of America when funds need to be transferred or received it's done in minutes not in days I do all my online banking love it,normal,normal
887,The new ATM machine is much better,normal,normal
888,Easily accessible from my car. Easy to use ATM. Checks easy to deposit.,normal,normal
889,Easy access and easy to use,normal,normal
890,es rapido y no hay mucha fila,normal,normal
891,Give thanks for a exelente service,normal,normal
892,Works ok,normal,normal
893,I like all the bank's around,normal,normal
894,All I had to do is pull up and get my cash out and leave..... simple.,normal,normal
895,Because it is,normal,normal
896,"It was fast, accurate, and efficient.",normal,normal
897,R?pido y me deja seleccionar los billetes,normal,normal
898,The transaction was fast and complete,normal,normal
899,good location,normal,normal
900,"Awesome service, awesome that there’s a lot of different option to bank such as depositing cash or check straight through the atm without having to wait for the bank to open",normal,normal
901,I love this bank. I’ll not change it for any other one,normal,normal
902,Because I serviced for what I needed,normal,normal
903,I had no issue with my ATM transaction. It was easy to complete and I like the option to chose the type of bills I received.,normal,normal
904,Appropriate lighting.,normal,normal
905,to verify information about something,normal,normal
906,"Location was in middle of mall, so close to store stand it felt unsafe.",safety/cleanliness,safety/cleanliness
907,NO PROBLEMS-Excellent Parking-CLEANLINESS,normal,normal
908,offer more denominations at all atms,multi-denomination,multi-denomination
909,Thank you at BOA,normal,normal
910,Quickly and easy!,normal,normal
911,It is very comvenient to have and minimum offline experience,normal,normal
912,I was able to make my deposit fast and easy,normal,normal
913,"The buttons were off so when I would press one button, I would get the response from the button below it.  I finally had to press the area in between the buttons in order to get the correct response.",improve touchscreen,improve touchscreen
914,Not have as many steps to go though.  If you want a withdrawal have a choice of - withdraw from savings or withdraw from checking and not have to view and read two screens.  So you don't have to chose withdraw and the chose the account.  Also should be able to skip the denominations for the cash. Takes too long.,user interface,user interface
915,Easy to use.only a few steps to make deposit.,normal,normal
916,I have always had great experience at BOA,normal,normal
917,ease of withdrawing/depositing cash,normal,normal
918,Seems to work fine and beats held out of waiting 15 minutes in line for a teller,normal,normal
919,Stop asking my preferred language,user interface,user interface
920,"How hard can it be?  You put your card in, follow the directions and deposit the check.  Occasionally it has trouble reading the check but usually it works just fine.",normal,normal
921,Wish there was a ATM drive in there. Otherwise I have no complaints.,normal,normal
922,To have a bank account,normal,normal
923,Safe Clean Lobby. Easy to use ATM. Good Parking.,normal,normal
924,Simple deposit,normal,normal
925,Worked efficiently for my deposit.,normal,normal
926,I love it it’s fun and entertaining,normal,normal
927,"We need an additional ATM at this location.  Preferably a drive up ATM. The tubes are already in place,  so this should be an easy choice.  The 3 drive up lanes are never all used. It's a practical and cost effective solution.",add location,add location
928,SEMPER FI,normal,normal
929,convenience.,normal,normal
930,Ease of use!! Fast!,normal,normal
931,Fairly quick and efficient,normal,normal
932,"good professional service, not always the case with BOA, I.E. when I call for service, calls are not even being return when requested.",normal,normal
933,The touch screen freezes at night time.,improve touchscreen,improve touchscreen
934,Just wish it wasn’t around back,normal,normal
935,Very quick,normal,normal
936,Nothing,normal,normal
937,machine worked,normal,normal
938,"Quick and easy to use, this location you can get money in increments of $10.00 which is great",normal,normal
939,It very great service to get from the ATM the amount you need  not what I have to get,normal,normal
940,I like the new system,normal,normal
941,"Easy to use and new machines,  i sow other brand machines bring different cuts of money (10 - 20 -100)Thank you",normal,normal
942,It was fast and predictable.,normal,normal
943,Just great service,normal,normal
944,"It’s was fast , easy , simple buttons to see what I want",normal,normal
945,"For one, it is located close to my job. and the wait is not long.",normal,normal
946,We have had problems finding a local bank and when we did they were having problems with the kiosk doors. This has happened many times,door/parabit reader,door/parabit reader
947,It was fine.,normal,normal
948,Nothing bad happened,normal,normal
949,The person in front of me was super slow. I went in reverse so I wasn’t stuck in the drive thru.,make process faster,make process faster
950,"the ATM was functioning properly, the transaction was processed quickly",normal,normal
951,"Quick, touch screen, easy",normal,normal
952,Super easy and quick,normal,normal
953,Out of my way.  My local BofA  bank closed.,normal,normal
954,Very good atm and I want to suggest if 2 or 3 atms can be located in the environment,normal,normal
955,The ATM machine worked!!,normal,normal
956,Quick and easy. I appreciate c that this ATM gives $20 bills.  I hate it when I get $50 bills.,normal,normal
957,I didn't have a long wait at the drive up ATM and I was given money.,normal,normal
958,Quick and easy,normal,normal
959,Customer service always is there to make sure it gets fixed or on track right away,normal,normal
960,User friendly ATM,normal,normal
961,Well-done.,normal,normal
962,Very narrow drive thru lanes,drive-up height/layout,drive-up height/layout
963,Fast and easy,normal,normal
964,You have finally installed a new ATM machine at the branch I use.  The old machine was difficult to maneuver.,normal,normal
965,Mona is always gracious and efficient,normal,normal
966,Area could be bit cleaner.,safety/cleanliness,safety/cleanliness
967,Easily manegeable,normal,normal
968,I enjoy using my phone to access my account and use the app to authorize a withdrawal so the transaction is quicker.,normal,normal
969,It’s mirebip to date and more sufficient,normal,normal
970,The fact that I can now choose the denomination instead of always having to pull out 20 dollar bills.,normal,normal
971,Allow me to make multiple transactions without removing and replacing my ATM card.,chaining,chaining
972,Every time I go thru drive thru cash deposits is blacked outI have to go around again and go in the bank and deposit in the ATM,normal,improve deposit process
973,Very efficient,normal,normal
974,It's easy,normal,normal
975,best services,normal,normal
976,The only problem I and others have experienced is the entrance sometimes does not accept our atm cards and we have to wait for someone else to open the door,door/parabit reader,door/parabit reader
977,The ATM machine appeared to be very secure and it's easy to make a quick transaction.,normal,normal
978,Me ha resultado muy comodo y rapido gracias,normal,normal
979,WOULD HAVE BEEN A 10 EXCEPT ATM WOULDN'T READ SMALLER SIZE CHECK AND I HAD TO ENTER AMOUNT.,normal,normal
980,Everything went great,normal,normal
981,2 atm’s no wait,normal,normal
982,"The touchscreen is high for those  in cars.  It's  great for those in SUVs or  trucks  who  are  able to reach it directly out the window.  It's all I can do to reach the upper  screen (WITHDRAWAL/DEPOSIT options).  I've seen many people at this and  other BofA ATMs having to get out of their vehicles. Being disabled, that's not an option for me.",drive-up height/layout,drive-up height/layout
983,"I had a simple transaction that only took a few minutes at the ATM.  But I must tell you that my experience for the past year with Bank of America has greatly tempted me to change banks after being with the same bank for 75 years.  The bank nearest my home in Vienna, on Maple Ave. is the worst I have ever used.  You closed the drive up window .",normal,normal
984,very easy not  busy  was able to get in and out quickly,normal,normal
985,Everything went well,normal,normal
986,Cash deposit was not working for one of the ATMs and the door to the ATMs was open even during late hours meaning there was no need to swipe my card to unlock. Can be very unsafe,improve deposit process,improve deposit process
987,"It's never a hassle, easy to read screen, fast",normal,normal
988,long wait,normal,normal
989,This is the best atm. It lets me get my financial business done.  Everything I need to do is done at this location. It never rejects my transaction for deposit of checks. Thank you.,normal,normal
990,"The ATM is very user friendly, my transaction took about a minute to complete.",normal,normal
991,The surrounding and the security you just feel safe walking in to go use the ATM,normal,normal
992,"The ATM machines are too tall to reach comfortably from my car.  Also, they're terribly slow operating machines.",drive-up height/layout,drive-up height/layout
993,Easy to use and easy to read.,normal,normal
994,"Easy, accessible, quick & convenient",normal,normal
995,Simple to deposit and quick,normal,normal
996,very easy to use and convenience,normal,normal
997,"Approach everything on the ATM that is visualized to be described  as being ""KISS""....Keep it SIMPLE Stupid.  The user is NOT speaking to ANYONE DO NOT , I repeat, DO NOTexpect anyone TO KNOW that when asking for $400 in $20 dollar Bills that AFTER hitting the ""+"" sign 20 times to get the desired $400..and still NOT getting the money,to know",user interface,user interface
998,Quick. And I like the new how to dispense your money options,normal,normal
999,Convenient and easy to use,normal,normal
1000,"Dispense higher denomination of currency, $50.00 instead of all $20.00.",multi-denomination,multi-denomination
1001,I had more than 1 check to deposit & the ATM was able to accept all 3 at once and print an itemized receipt that confirmed the amount of each check as well as the available balance.,normal,normal
1002,It is very convenient to make the payment of the credit card in this way. I appreciate it so much.,normal,normal
1003,Great service the ATM was fast and proficient,normal,normal
1004,Helpful,normal,normal
1005,Everything worked great no hassles!,normal,normal
1006,No one was in front of me in the drive up,normal,normal
1007,It was quick and easy,normal,normal
1008,Professional staff and friendly,normal,normal
1009,"Easy,",normal,normal
1010,We need $50 bills in the Atm,multi-denomination,multi-denomination
1011,not enough of them,add location,normal
1012,Easy to use,normal,normal
1013,It was easy to use,normal,normal
1014,It is not very easy to operate the ATM from my jeep,normal,drive-up height/layout
1015,Convience,normal,normal
1016,"Very advanced ATM, fast and easy access",normal,normal
1017,its a good bank.,normal,normal
1018,easy to use ATM from my compact car,normal,normal
1019,The card needs to come out of the machine w/more room to grasp card. If u have nails @ all it is quite difficult to retrieve. Machine takes quite a bit of time to process transaction...kind of slow compared to others. Machine consistently has problems recognizing/accepting bills & it would b nice if u could put more than 40/50 @ a time. Thank u!,drive-up height/layout,chaining
1020,"this atm offers a choice of $10 bills, $20 bills, and $100 bills. i wanted all $20 bills for this transaction but it wouldn't let me select any. just $10s and $100s. later i went back because i needed $20 more. i wanted 2 $10s but it didn't even offer a choice then. either always offer a choice or don't offer at all.",multi-denomination,normal
1021,Easily accessible and fast,normal,normal
1022,"Quick, easy, secure",normal,normal
1023,It's good to know were you stand,normal,normal
1024,"Quick in and out, no hassle deposits and withdrawals. I would have given it a 10 but I have a Mazda3 car and the atm is sitting a little high for me, I have to stretch to reach the screen.",normal,normal
1025,"It was a large cash withdrawal, and I was offered a combination of $50 and $20 bills.",normal,normal
1026,Easy and accurate transactions with little to no delays,normal,normal
1027,Best part is that deposit money through ATM,normal,normal
1028,Location has two atm’s and one has the option of proving 10 dollar increments.,normal,normal
1029,"ATM are new and easy to use, area is clean and illuminated",normal,normal
1030,"I'm not sure if i understand your question, but i didn't have any problem with atm machines when i take money or deposit...",normal,normal
1031,It's a ATM visit it's either satisfying or it's not,normal,normal
1032,I don't remember the young ladies' name... but she was professional and efficient.,normal,normal
1033,No problems at ATM.,normal,normal
1034,Very easy to find navigate through the website. I can usually find all the information I need without bothering you guys on the phone. ;).,normal,normal
1035,Accessibility,normal,normal
1036,I didn’t find any problem. I deposited my check with no difficulty. The process was smooth and fast. The notification about the money banked came by email immediately. I appreciate the services.,normal,normal
1037,New atm,normal,normal
1038,"It is nearby, easy to do what I have to do.",normal,normal
1039,"Easy in, easy out.",normal,normal
1040,Have not had any issues using the ATM.  Good lighting.,normal,normal
1041,Put $100 back as a withdrawal option on the main page,user interface,user interface
1042,"It was quick, easy & convenient!",normal,normal
1043,It's true,normal,normal
1044,"Well it's the closest ATM to me. I live in Saint Joseph and when u moved here from Texas I kept my account. It's open 24 hours and sometimes I get paid in cash so mobile banking doesn't help. I wish you had an ATM in Saint Joseph, there are quite a few of us, customers here.",normal,normal
1045,The equipment was fully functional and I didn't have to wait long to do my transaction.,normal,normal
1046,Ease of use. ATM was open and operating correctly. Well lighted location. Space to park.,normal,normal
1047,"I drove in, put in my pin, got my money, hit no receipt, and drove out. In and out in less than 3 minutes.",normal,normal
1048,"Speed and convenience of the ATM,  very assessable.",normal,normal
1049,Safety place,normal,normal
1050,"It is very, very slow to process cash.",normal,improve deposit process
1051,Original atm outside was out of order so had to park and go use the indoor atm,normal,normal
1052,Quick. Close-by.,normal,normal
1053,Fast service.,normal,normal
1054,ATM WORKED EXCELLANTLY.,normal,normal
1055,Ease of use,normal,normal
1056,Easy to complete transaction,normal,normal
1057,New machine....seem to work well...Top settings are high...had to remove seat belt to reach.,normal,normal
1058,"Quick, accurate",normal,normal
1059,"Great,,easy to work",normal,normal
1060,being able to get $10 bills as well as 20,multi-denomination,normal
1061,Fast and easy transaction,normal,normal
1062,There wasnt a problem with the system was able to collect my funds without and problem,normal,normal
1063,"The atm is outside of a mall. It is easily accessible to drive-by abductors. There should be some sort of security at the atm, 24 hrs.",normal,safety/cleanliness
1064,Mucha informaci?n que leer.,normal,normal
1065,"This location has three ATMs and the first one I went to was out of cash. So, I had to circle around the branch and wait in line again to use the other ATM. BOA service is getting worse by the day. You go into the branches it’s only to 2 tellers so you wait forever and now on top of that they can’t even keep their ATMs  replenished",improve withdrawal process,improve withdrawal process
1066,I did not have any problems with my transition,normal,normal
1067,Ease of use,normal,normal
1068,Location doesn’t seem very secure. Too far from bank.,safety/cleanliness,safety/cleanliness
1069,It perfect except the ATM didn’t give me the option of getting receipt via email.,normal,normal
1070,system is fast and easy and very secure,normal,normal
1071,Fast money withdrawal.,normal,normal
1072,I enjoy the fast service and that it.,normal,normal
1073,Deposit process took too long. Found out after the fact that deposit credit would take some time. Need to hear that up front.,user interface,make process faster
1074,"Easy peasy, lemon squeezy.",normal,normal
1075,I wish there were MORE ATMs at this location.,normal,add location
1076,Had no problem with drive -through ATM,normal,normal
1077,The touch screen is not responding all the time,improve touchscreen,improve touchscreen
1078,Was able to use the atm without having my card physically out,normal,normal
1079,It was really fast and plenty of lighting as it was dark when I was using it.,normal,normal
1080,The bank was closing in two mins so i just got in.  I was waiting in line when the bank manager approached. She said I could pay my bills at the ATM.  She took the time to show me how to use the ATM with my check and credit cards in hand.  It was great.  Now I can pay my credit card bills without going into the bank.,normal,normal
1081,Close to everything,normal,normal
1082,No problem at ATM,normal,normal
1083,The drive through ATMs are not accessible from my van. They're too low since I drive a full size van to accommodate my wheelchair. It's also hard to get my card out of the slot since it's recessed so far.,drive-up height/layout,drive-up height/layout
1084,It's been about 10 years with them I don't have any bad experience with them yet,normal,normal
1085,Absolutely no problems.,normal,normal
1086,it was an atm transaction and it was working this time.in the past the ATM are out of order or does not take deposits,normal,normal
1087,The ATM machine is modern and fast and my transaction took less than two minutes to complete.,normal,normal
1088,Convenient,normal,normal
1089,atm where too slow and the lones where too long!,make process faster,normal
1090,Easy to withdraw money,normal,normal
1091,I've been a Bank of America customer since ######... with all the take overs you guys are really great and very helpful.,normal,normal
1092,Very nice person and she does good job,normal,normal
1093,"New machine, nicer screens",normal,normal
1094,The new machines awesome,normal,normal
1095,location,normal,normal
1096,I felt that the atm was not propertly secured.  One of the entry points was falling off and so I could not put my card through.,normal,door/parabit reader
1097,"Members of staff are very efficient and helpful, there was a long line at the tellers, they directed me to use the ATM in way I didn’t think of.",normal,normal
1098,Easy to read clear screen.,normal,normal
1099,"ATM transactions makeit my banking needs much easier. I can deposit, withdraw and not need to go in to teller. Very easy, quick way to complete all my bank transactions.",normal,normal
1100,"I like what the ATM offered ""Start ATM withdrawal"" on my mobile phone. It best idea. but is it safe? I have a history OVERDRAFT so many times and I am losing money, because my budget is not wonderful and the cost of living is high and I am trying to buy foods and gas. I was hoping in the future BOA would give me a break and settle to agreed better",normal,normal
1101,I went specifically to get some cash and that's what I got without any problems.,normal,normal
1102,Ease of use and done quickly,normal,normal
1103,"Quick, easy and no wait time.",normal,normal
1104,It's fast convenient parking right there its great.,normal,normal
1105,Have different  money options to choose from when withdrawing cash from an ATM. At this location you only have 1 option of $20 denomination. I did not like that.  Other B OF A'S give you options.,multi-denomination,multi-denomination
1106,"The bill denominations are to small, $50 bill should be an option if not the standard.  The ATM at another nearby location offers $10 or $20 bills; I'd prefer to see $50 and $100 bills if two options are to be offered. I also found the plastic keys to be somewhat lacking in feedback, feel and texture I'd expect in something that secures currency.",normal,multi-denomination
1107,"I will never drive an SUV, but the ATM is at Ford Explorer height. This makes it hard to use. I was unable to make a payment on my husband’s credit card as I don’t carry his card. So, using it was an athlete challenge (I’m 78), but the screens are easy to follow. I’ll use it again.",drive-up height/layout,drive-up height/layout
1108,have $100 bills in there,multi-denomination,multi-denomination
1109,"Just making a deposit, it was ok.",normal,normal
1110,The service is Very fast,normal,normal
1111,The atm is a new type and faster and straight forward to understand how to use it.,normal,normal
1112,Easy to understand,normal,normal
1113,"I was there at night and the area could be better lit. Also, is there a way to lower the screen? I'm short and always have to open my door to reach up no matter how close I am to the monitor. Otherwise - it was fast & easy! Thanks!",safety/cleanliness,safety/cleanliness
1114,New ATM processed much faster. Don’t like that the cars are behind each other.,normal,normal
1115,It worked!,normal,normal
1116,Deposite. and  cash reward,normal,normal
1117,Offer withdrawals of $50  ($10s plus $20 or flat $50s,multi-denomination,multi-denomination
1118,"New machine...finally. Most of the time dirty, smelly and trash is overflowing. Better cleaning service. Thankful for the new machine",normal,normal
1119,God service,normal,normal
1120,Location of ATM which accepts checks.  Weather-protected location with A/C.,normal,normal
1121,Todo service,normal,normal
1122,Quickly,normal,normal
1123,No negative issues to report.  Machine worked as expected.,normal,normal
1124,Have more in secured areas.,add location,add location
1125,Takes less time,normal,make process faster
1126,ATM responded to my request timely,normal,normal
1127,Abit fine but you have to add more Atm.,add location,normal
1128,Put money in them,improve withdrawal process,improve withdrawal process
1129,Fast and convenient,normal,normal
1130,It's fast.,normal,normal
1131,Good location,normal,normal
1132,"Quick and easy -- I do not like the $50 bills, on some of the ATM's it's cumbersome to avoid the 50's.",normal,normal
1133,Always faster access using ATM machine,normal,normal
1134,"Good service, quick, fairly easy to use.",normal,normal
1135,Brand New,normal,normal
1136,Convenience to my home,normal,normal
1137,"Touch sceer could have worked better, i had to push the yes and no buttom many times.",improve touchscreen,improve touchscreen
1138,Because of the facilities,normal,normal
1139,Install more atm. The one installed close to my home is always out of service. Vermont 3rd street,add location,add location
1140,I had to go in the bank for $100 bills for my sister's wedding gift.  My transaction was handled swiftly and professionally.,normal,normal
1141,Have the choices for withdrawal go up to five hundred dollars instead of three.,improve withdrawal process,multi-denomination
1142,Thanks you Bank Of America for the good service and good quality to the client,normal,normal
1143,The New Machines Are Awesome..looks very secured!,normal,normal
1144,I don't have to deal with long lines and very poor service inside,normal,normal
1145,Bank of America is a wonderful bank and I really enjoy the convenience of how everything works.,normal,normal
1146,Drive way atm,normal,add location
1147,I had to slide my card a couple of times to open the door,normal,door/parabit reader
1148,Best customer service,normal,normal
1149,Like the drive up feature. Ease of use.,normal,normal
1150,I like having the ability to choose the bills I would like to recieve as opposed to being given just $20 bills for withdrawals of larger amounts,normal,normal
1151,Very easy to use the ATM. The problem I have with BOA is how they don't pay any interest and steal money from my account for moving my own money around.,normal,normal
1152,N/a,normal,normal
1153,"Not sure what experience I am rating, but all recent contacts have been very satisfactory",normal,normal
1154,Bank Of America ATM machines provide a quick and convenient way for me to handle my banking needs.,normal,normal
1155,Easy to use,normal,normal
1156,Easy access,normal,normal
1157,Ease of operation and the new option of the bill size,normal,normal
1158,The ATM machine was working.,normal,normal
1159,"It has always been the same procedure for years, maybe with a faster technology where when you deposit the checks all money should be already processed and ready for use and not take 2-3 days to process... just a suggestion.",improve withdrawal process,normal
1160,Everything worked as it was supposed to,normal,normal
1161,Atm processed quickly and hassle free my transaction. New atm has a volume setting right and buttons are big enough.,normal,normal
1162,ATM got the job done,normal,normal
1163,No line and it is convenient.,normal,normal
1164,No wait and convenience,normal,normal
1165,The new atm machines have the latest technology. The screen and the font size makes easy to complete quick transactions.,normal,normal
1166,Never a problem and if there is someone from the bank is Always happy to help you.,normal,normal
1167,get rid of the question about denominations.,multi-denomination,multi-denomination
1168,thre is no primary reason for me,normal,normal
1169,I had no problem.,normal,normal
1170,Good location,normal,normal
1171,Give me a wider choice of bills for my withdraw.  I wanted 1;5;10 &20’s,multi-denomination,multi-denomination
1172,"Easy, and quick to get cash.",normal,normal
1173,Easy  to used,normal,normal
1174,Easy,normal,normal
1175,Fast and secured,normal,normal
1176,no problems   bank tellers are so helpful and courteous,normal,normal
1177,No trouble getting into the bank.  Good location for me.,normal,normal
1178,What's to say? Went to ATM got money and recent. ATM did what had to be done.,normal,normal
1179,Problem resolved,normal,normal
1180,Faster,normal,make process faster
1181,Machine worked as it was supposed to,normal,normal
1182,"Choices in how cash is dispensed ($10,$20,$50)",normal,normal
1183,ATM is easily accessible and my transaction was processed quicky and efficiently!,normal,normal
1184,Everything worked great and there were no pro6,normal,normal
1185,Using the machine is extremely user friendly.  It is not at all difficult to navigate from screen to screen.,normal,normal
1186,Porque hace mi vida m?s f?cil,normal,normal
1187,Received temp atm card due to unauthorized charges,normal,normal
1188,Withdrawal money,normal,normal
1189,Excellent,normal,normal
1190,Never had a problem..,normal,normal
1191,I complete my transaction in a timely manner.,normal,normal
1192,Better choices of money denominations,multi-denomination,multi-denomination
1193,New improved ATM machines. Two lanes dedicated to atms,normal,normal
1194,Close to home,normal,normal
1195,Everything works!,normal,normal
1196,Convenient location,normal,normal
1197,Never I had any problem,normal,normal
1198,Clarity and bold letters.,normal,normal
1199,with draw money,normal,normal
1200,Easy,normal,normal
1201,Ease of use and FAST operation of getting the job done!,normal,normal
1202,"Nice to have a choice of 10, 20...",normal,normal
1203,It’s quick and easy,normal,normal
1204,Got good service from the teller,normal,normal
1205,No line,normal,normal
1206,Very quick,normal,normal
1207,Hate going out of the car and into the bank,normal,normal
1208,I just think maybe the machines are slow and that there might be a quicker response to requests,make process faster,make process faster
1209,Easy and quick,normal,normal
1210,it worked.  I got my money.,normal,normal
1211,long line,normal,normal
1212,specific questions answered regarding joint account identification,normal,normal
1213,It’s too far away from the vehicle.  I have to  reach really far to use it. This is a pretty old building and I think if you pushed the atm machine out a little further it would be much more convenient.,drive-up height/layout,drive-up height/layout
1214,the reason for that rating is because the ATM is very easy to use and it gives options that prevent my having to go into the banking center,normal,normal
1215,I usually use this branch when I need to deposit or withdraw funds.  I go to Chuze Fitness that is in the same plaza.  This branch is very convenient for me.  I never have any problems with the ATMs .,normal,normal
1216,Put an ATM machine outside in the drive thru...,add location,add location
1217,I've never had a problem using your ATM machines. They've always worked  wellfor me. I do like the choice in cash denominations that you offer for withdrawal..,normal,normal
1218,"There was no line and the actual ATM machine is easy to use. I appreciate that it is able to dispense different denominations, also.",normal,normal
1219,Choice of bill during withdrawals. Easy to use interface.,normal,normal
1220,it was an amazing experince!,normal,normal
1221,I’m deaf.The lights were on when my debit card and the cash were ready.It helps the deaf people because we depend on our eyes instead of the auditory procession and instructions.,normal,normal
1222,a bit slow,normal,normal
1223,I have a positive opinion about the bank's services.,normal,normal
1224,Location  and machine are easy to use.,normal,normal
